,title,rating,price
0,Buy Jompers Ethnic Motifs Embroidered Sequinned Mandarin Collar Straight Kurta  - Kurtas for Men 29102908 | Myntra,4.3,₹908
1,Buy Jompers Ethnic Motifs Embroidered Mandarin Collar Straight Pure Cotton Straight Kurta  - Kurtas for Men 28932986 | Myntra,4.3,₹883
2,Buy HERE&NOW Men Solid Cotton Kurta  - Kurtas for Men 24454594 | Myntra,4.3,₹899
3,Buy Jompers Floral Embroidered Thread Work Sequinned Pure Cotton Kurta  - Kurtas for Men 24214458 | Myntra,4.1,₹987
4,Buy Anouk Men Geometric Printed Cotton Indigo Kurta  - Kurtas for Men 23119268 | Myntra,4.2,₹703
5,Buy Jompers Floral Embroidered Thread Work Sequinned Pure Cotton Kurta  - Kurtas for Men 24214460 | Myntra,4.1,₹883
6,Buy Jompers Men Cream Coloured Ethnic Motifs Embroidered Cotton Kurta  - Kurtas for Men 17027020 | Myntra,4.1,₹979
